char_name,description,extra
Alicia Spinnet,"Alicia Spinnet was a Gryffindor girl two years (CS7) ahead of Harry Potter, in the same year as Angelina Johnson, Fred and George Weasley and Lee Jordan. She played Chaser on the Gryffindor Quidditch team with Harry (PS11). She was made a full member… Read More",
Helbert Spleen,Helbert Spleen was a Healer at St. Mungo’s Hospital of Magical Maladies. He also wrote for the Daily Prophet (DP3)… Read More,
Phyllida Spore,Phyllida Spore was a famous herbologist and the author of One Thousand Magical Herbs and Fungi (PS5). Read More,
Pomona Sprout,"Pomona Sprout was a squat little witch with fly-away gray hair who taught Herbology at Hogwarts. In the greenhouses, Sprout had to deal with a wide variety of magical plants, some of which were very strange and even dangerous. She handled them all with aplomb, even the… Read More",
Able Spudmore,"Able Spudmore was one of the founders and owners of Ellerby and Spudmore, makers of racing brooms in the mid-twentieth century. Able’s son Randolph Spudmore was the designer of the famous Firebolt racing broom (c. 1993) (Pm). Read More",
Spudmore family,"The Spudmore family is famous for its association with the sport broom industry. The two known members of this family, Able and and his son Randolph, are broom designers. Able Spudmore’s company, Ellerby and Spudmore, was located in the Black Forest in Germany in the 1940s and 50s, which may… Read More",
Randolph Spudmore,"Randolph Spudmore is the innovative designer of the popular Firebolt broom. He is the son of Able Spudmore of Ellerby & Spudmore, broom manufacturers of the Swiftstick and Tinderblast models (MagSp). The design and manufacture of the Firebolt broom was his secret project, released in 1993. Even now… Read More",
Erica Stainwright,"Erica Stainwright was a popular witch who sold fake cleaning potions to unsuspecting householders in the 1950s (JKR, WoM). Read More",
Blenheim Stalk,"Blenheim Stalk is a well-known expert on Muggles and the author of several books, including Muggles Who Notice (FB, FW). Read More",
Stamford Jorkins,Mr Jorkins is a Ministry of Magic spokeswizard (DP4)… Read More,
Stan Shunpike,"Young, pimply conductor of the Knight Bus. He wears a purple uniform, has large protruding ears, and a Cockney accent. Stan is only about 5 years older than Harry (PA3). He was the first wizard to tell Harry the history of Sirius Black’s arrest for murder and his escape… Read More",
Stebbins,"Stebbins was a Hufflepuff student who once lost his house ten points when he and a girl were chased out of a rosebush by Snape, who was upset after a meeting with Igor Karkaroff (GF23). Read More",
Stebbins ,"Stebbins was an auror who briefly tailed Newt Scamander for the British Ministry of Magic at some point after Newt refused to take on the task of hunting down Credence. After an hour, Newt was able to shake Stebbins after impeding him by conjuring a strong magical wind (CG). Read More",(Auror)
Stephen Cornfoot,"Stephen Cornfoot was a student in Harry Potter’s year at Hogwarts. He was sorted into Ravenclaw (HPM, Pm). Read More",
James Steward,James Steward was the Muggle husband of Isolt Sayre. He was instrumental in creating Ilvermony and naming house Pukwudgie He was the adoptive father for Webster and Chadwick Boot and the blood father of Martha and Rionach Steward. He was the Headmaster of Ilvermony for many years. He lived to be… Read More,
Stewart Ackerley,Stewart Ackerley was a Ravenclaw student who started Hogwarts in 1994 (GF12). Read More,
St. Mungo,,
Stoyanka Grozda,Stoyanka Grozda was a Chaser on the Bulgarian National Team at the 2014 Quidditch World Cup. Read More,
Ballyfumble Stranger,"Ballyfumble Stranger is from Conundrum 5: The Miserable Ode of Quivering Quintus, part of Miranda Goshawk’s Book of Spells. He is a nervous and cowardly character, who flees from danger quickly and lacks bravery and daring. (BoS)… Read More",
Miriam Strout,"Miriam Strout was the Healer in charge of the Janus Thickey ward (a closed, longterm ward for patients with permanent spell damage) at St. Mungo’s Hospital at the time of Broderick Bode’s assassination (OP23, 25). She was quite chatty and was “motherly-looking.” She treated Lockhart (a resident in the… Read More",
Billy Stubbs,"Billy Stubbs was another child at Tom Riddle’s orphanage. Billy Stubbs had chickenpox at the time of Dumbledore’s first meeting with Riddle. According to Mrs. Cole, the day after Tom and Billy had had an argument, Billy’s pet rabbit was found hanging from the rafters (HBP13). Read More",
Stubby Boardman,Stubby Boardman was the lead singer of the Hobgoblins who retired c. 1980 after being hit in the ear by a turnip at a concert in Little Norton Church Hall (OP10). Read More,
Stubby Lamont,"Stubby Lamont was blamed for passing on undesirable physical attributes to his son Hector, the Seeker for Scotland at the 1990 Quidditch World Cup tournament (Pm). Read More",
student who was accidentally Transfigured into a badger,,
students,,
Grogan Stump,Grogan Stump was a popular Minister for Magic who served from 1811 to 1819 (Pm). Read More,
Sturgis Podmore,"Square-jawed wizard with thick straw-colored hair. Member of the Order of the Phoenix and part of the Advance Guard that helped Harry escape from number four Privet Drive (OP3). Podmore was on guard duty at entrance of the Department of Mysteries on August 31, 1995 when he was apprehended… Read More",
Sudanese Obscurial,A young witch who developed an obscurus from trying to suppress her magic. She died at the age of eight (WFT). Read More,
Sue Li,"Sue Li was one of the original forty students at Hogwarts that J.K. Rowling created. She never appeared in canon, but did appear in the BBC interview with J.K. Rowling in 2001, Harry Potter and Me. Her name also appears in a new writing from J.K. Rowling on Pottermore,… Read More",
Su Li,Ravenclaw? 1991 – 1998. Read More,
Felix Summerbee,Felix Summerbee was the inventor of Cheering Charms (FW). Read More,
Summerby,,
Mr. Summers,,
Summers,,
Susan Blancheflower,"Susan Blancheflower played Keeper for the United States National Team at the Quidditch World Cup in 2014. Appearances A participant in the 2014 tournament, her weakness in the early rounds was letting in too many goals during the opening matches against Jamaica and their subsequent quarter-final against… Read More",
Susan Bones,"Student at Hogwarts, 1991-1998 (PS7); sorted into Hufflepuff. Read More",
Havelock Sweeting,Havelock Sweeting was a unicorn expert (FW). Read More,
Emeric Switch,Emeric Switch was the author of A Beginner’s Guide to Transfiguration (PS5). Read More,
Sybill Trelawney,"Sybill Patricia Trelawney is the Divination professor at Hogwarts School of Witchcraft and Wizardry. She is the great-great-granddaughter of Cassandra Trelawney, a very gifted, very famous Seer (OP37). She “has cultivated a dramatic manner and enjoys impressing her more gullible students with predictions of doom… Read More",
Jocunda Sykes,"Jocunda Sykes was the first person to ride a broom across the Atlantic Ocean (QA9, JKR, FW). Read More",
Sylvian Boigny,"Sylvian Boigny played Seeker for Ivory Coast’s National Team in 2014. A participant in the Quidditch World Cup tournament in 2014, Boigny failed to outrace the Norwegian Seeker and missed the Snitch in the opening Round of 16 match (QWC). Read More",
Sylvian Jolicoeur,"Sylvian Jolicoeur played Seeker for the Haitian National Team at the Quidditch World Cup in 2014. In Haiti’s first-round match against Brazil at the 2014 tournament, Jolicoeur was knocked out by a poorly hit Bludger from his teammate, Bloncourt, just before he would have caught the Snitch. Read More",
Symposia Rawle,,
Syna Hyslop,,
Tangwystl ,"Tangwystl is mentioned as a sister to the famous Miranda Goshawk, who used the Bat-Bogey Hex on Tangwystl when she wanted to quiet her so she could do her homework. (BoS)… Read More",(Goshawk?)
Tarquin McTavish,"Tarquin McTavish was a wizard who imprisoned his Muggle neighbour inside a tea kettle. He was sent to prison for this act (JKR, WoM). Read More",
Tatting,,
Ted,Newsreader on the Muggle news… Read More,
Teddy Lupin,"Teddy Lupin is the son of Remus Lupin and Nymphadora Tonks. He is a Metamorphmagus like his mother (DH25, BLC). He was named for his grandfather Ted Tonks, and is the godson of Harry Potter (DH25). Orphaned in the Battle of Hogwarts (DH33) and… Read More",
Tenebrus,"A Thestral, the first of his herd to be born in the Forbidden Forest and a particular favorite of Hagrid (OP21). Read More",
Terence Higgs,,
Terry Boot,"Terry Boot is a Ravenclaw boy in Harry’s year at Hogwarts. Terry checked out Quidditch Through the Ages on 21 August (QA). He joined the DA October 1995, apparently having heard about it as a friend of Michael Corner (OP16). He was one of the DA members who helped Harry… Read More",
Tertius,"Tertius was the first wizard to use the potion Felix Felicis, or liquid luck (BoP). Read More",
Theodard Fontaine,Theodard Fontaine was one of MACUSA’s original twelve aurors (Pm). Read More,
Theodore Nott,"Theodore Nott (Slytherin, 1991-1998) is the son of the Death Eater Nott (PS7, OP26). Theodore is described as “weedy-looking” (OP26) and “a clever loner who does not feel the need to join gangs, including Malfoy’s” (JKR). During Care of Magical Creatures class in fifth year, he… Read More",
Theophilus Abbott,"Theophilus Abbott was an American Magical Historian who identified families of “Scourers,” witches and wizards who persecuted their own kind and also innocent No-Maj Muggles by selling them out during the Salem Witch Trials and other situations (MNA). Read More",
Theseus Scamander,"Theseus Scamander was the older brother of Newt Scamander, a well-known hero of World War One, and an Auror for the Ministry of Magic in the 1920s. When Newt Scamander appeared before MACUSA in 1926 after creatures escaped from his case, the British Envoy recognized his last name, as did… Read More",
Thiago Quintana,American wandmaker (Pm). Read More,
Janus Thickey,"Janus Thickey was a wizard who pretended to have been killed by a Lethifold, only to turn up later living with the Landlady of the Green Dragon (FB). Read More",
Pius Thicknesse,"Pius Thicknesse was the head of the Department of Magical Law Enforcement (DH1) until the death of Rufus Scrimgeour, after which he became Minister for Magic (DH13). Unfortunately, he had been placed under the Imperius Curse by the Death Eater Yaxley earlier in the summer (DH1), which… Read More",
Mr. and Mrs. Thomas,"Dean’s parents, who didn’t know anything about any deaths at Hogwarts as of the beginning of the 1995 – 1996 school year, because their son didn’t see fit to tell them (OP11). Mr. Thomas is Dean’s stepfather; Dean’s biological father was a wizard who was killed by Death Eaters… Read More",
Dean Thomas,"Dean Thomas was a “half-blood” Gryffindor boy from London in Harry’s year at Hogwarts. History He was a classmate of Harry’s and best friends with Seamus Finnigan (GF7). He was a black Londoner (JKR) who grew up as a Muggle, and thus had always been a… Read More",
Thorfinn Rowle,"Thorfinn Rowle was a huge, blonde Death Eater during the second war with Voldemort. During the Battle of the Astronomy Tower, Rowle was part of the group that invaded Hogwarts where he did tremendous damage (HBP27). It was his Avada Kedavra that killed fellow Death Eater Gibbon when it missed Lupin. Rowle… Read More",
Thornton Harkaway,"Thornton Harkaway was President of the Magical Congress of the United States (MACUSA) when it was located in Williamsburg, Virginia (Pm:MACUSA). Read More",
Thorsten Pfeffer,Thorsten Pfeffer played Seeker for the German National Team at the 2014 Quidditch World Cup. Read More,
one hundred thousand spectators at the World Cup,,
Orsino Thruston,Orsino Thruston was the drummer for the wizarding rock band The Weird Sisters (FW). Read More,
Thaddeus Thurkell,"Thaddeus Thurkell was the wizard father of seven squib sons, whom he transfigured into hedgehogs out of disgust (FW). Read More",
Mr. Tibbles,"Mr. Tibbles or Tibbles is one of Arabella Figg’s cross-bred Kneazles/cats. He works as a look-out for Mrs. Figg and he watches Harry Potter. He rushes to inform her when Mundungus Fletcher leaves his guard-duty post. Tibbles, like Mrs. Figg’s other Kneazles, can understand human speech (OP2). Read More",
Tiberius,,
Tiberius Ogden,Tiberius Ogden was a Wizengamot elder who (along with Griselda Marchbanks) resigned in protest when Fudge appointed Dolores Umbridge as the first Hogwarts High Inquisitor (OP15). Ogden was a friend of Professor Tofty of the Wizarding Examinations Authority (OP31). Read More,
Albert Tillyman,"Albert Tillyman was a wizard and a bully whose wife, Violet, went missing after they argued. He believed she had disappeared in the Floo Network, which caused a national scare. Unbeknownst to him, she had traveled to the wrong house and left him for the man she met there, Myron… Read More",
Violet Tillyman,"Violet Tillyman was a witch who was famous for apparently vanishing in the Floo Network after a row with her husband Albert. Her disappearance caused a national scare in which people stopped using the Floo Network for fear that they, too, would vanish. In reality, she had simply ended up… Read More",
Tilly Toke,"Recipient of the Order of Merlin First Class as a result of the Ilfracombe dragon attack of 1932. An errant Welsh Green dragon attacked a beach full of sunbathers. Tilly and her family, who were on holiday there, were credited with saving many Muggle lives as well as wiping their… Read More",
Timothy Blenkinsop,"Timothy Blenkinsop is a supporter of the Puddlemere United Quidditch team in the 1990s (DP4). Interviewed by the Daily Prophet, Blenkinsop was 23 at the time of Puddlemere’s 30 September match against the Holyhead Harpies. He was caught in the ensuing riot and still had a tail resulting from… Read More",
Tina Goldstein,Porpentina “Tina” Goldstein was a witch who worked as an Auror for the MACUSA in 1920s New York. Tina was temporarily removed from her position as an Auror after attacking a No-Maj who was beating her young adult son. After this incident she was assigned as a Federal Wand… Read More,
tiny old wizard in violet cloak,,
title,main paragraph… Read More,
Titus,Titus was a Bowtruckle in Newt Scamander’s case (WFT). Read More,
Tobias Snape,"Tobias Snape was the Muggle husband of Eileen Prince Snape and father of Severus Snape (HBP13, HBP30). Tobias was verbally and possibly physically abusive towards his wife and son, and the memory of his abuse and the Snapes’ generally unhappy homelife in the run-down Spinner’s End neighborhood of… Read More",
Sidney Todd,Sidney Todd was a fan the Montrose Magpies Quidditch team (DP3). Read More,
Todoroki,"Todoroki was the Keeper for the Japanese Quidditch Team at the Quidditch World Cup tournament in 2014 (Pm). An unsung participant in the 2014 tournament, Todoroki’s skill at saving goals passed by almost unnoticed in the tournament, as he or she was a member of such an outstanding Quidditch team… Read More",
Achilles Tolliver,Achilles Tolliver was an Auror whom Tina Goldstein dated after she read the (erroneous) magazine headline announcing that Newt was going to marry Leta Lestrange (CG). Read More,
Tom,"Tom was the bald, toothless, gloomy old innkeeper of the Leaky Cauldron (PS5, PA3, PA4). He was succeeded by Hannah Abbott (OBT/CH). Read More",
Tom ,Tom was a Bowtruckle in Newt Scamander’s case (WFT). Read More,(Bowtruckle)
Tom Marvolo Riddle,"Tom Marvolo Riddle was a gifted young wizard born of a witch mother (Merope Gaunt) and a Muggle father (Tom Riddle, Sr.) on December 31, 1926. His mother had fallen in love with his father, who was a Muggle, and tricked him into marrying her with a… Read More",
Tom Riddle Sr.,"Tom Riddle Sr. was the father of Tom Marvolo Riddle, described as being “a very handsome, dark-haired young man” (HBP10). He abandoned his wife Merope (who was then pregnant with Tom) after her love potion wore off and he found out she was a witch and the daughter of… Read More",
Andromeda Tonks,"Andromeda Tonks was the mother of Nymphadora Tonks and the sister of Bellatrix Lestrange and Narcissa Malfoy. She was disowned by the Black family for marrying Ted Tonks, a Muggle-born wizard. Read More",
Ted Tonks,"Ted Tonks was a Muggle-born wizard, father of Nymphadora and husband of Andromeda. He was described by his daughter as a “right old slob,” in contrast to the Dursleys, whose house seemed unnaturally clean to Nymphadora (OP3). Andromeda’s marriage to Ted resulted in her being disowned by the Black family… Read More",
Tonks family,"A wizarding family. Notable members of the Tonks family include Andromeda Tonks, a pure-blood witch, her husband Ted, a muggle-born wizard, and their daughter Nymphadora. The family suffered much in the Wizarding Wars of the 1990s. Ted was killed while on the run and both Nymphadora and her… Read More",
Tony Silva,Tony Silva played Seeker for Brazil’s National Team at the 2014 Quidditch World Cup. Read More,
Alberta Toothill,"Famous wizarding duellist. Toothill won the All-England competition in 1430 with a Blasting Curse. She defeated Samson Wiblin, who was the favorite to win. Toothill now appears on a Famous Wizard card (and Wiblin doesn’t!) (FW)… Read More",
Tilden Toots,"Tilden Toots was wizard with “three green thumbs” who hosted a Wizarding Wireless radio show on Herbology. He was married to the author Daisy Hookum (JKR, WoM). Quote from his radio show: . . . be sure to tune in next time when we’ll be discussing the… Read More",
Torquil MacTavish,"Torquil MacTavish was a Scottish wizard who participated in a broom race that led to the destruction of the Colosseum. MacTavish and his Italian rival Silvio Astolfi flew a close race from Aberdeen to Rome. In the explosions at the end of the race that destroyed the Colosseum, MacTavish was… Read More",
Kenneth Towler,Kenneth Towler was a Hogwarts student in the same year as Fred and George Weasley. Read More,
Tracey Davis,,
Travers,"Travers was a Death Eater who murdered Marlene McKinnon and her family, according to Karkaroff during his own trial. At that point, Travers had already been captured by the Ministry (GF30, OP9). Travers later escaped and partook in the Battle of the Seven Potters, where… Read More",
Travers family,"A pure-blood wizarding family, listed in the ‘Pure-Blood Directory’ (c. 1930) as one of the ‘Sacred Twenty-Eight’ families (Pm). A Notable member is: Travers  … Read More",
Torquil Travers,"Torquil Travers was Head of Magical Law Enforcement for the Ministry of Magic during the mid-1920s. His swaggering personality was “harsh and mean-spirited” (CG). When Newt Scamander requested to have his international travel restrictions lifted in 1927 after confronting Grindelwald and an Obscurus in New York City, Travers exaggerated his… Read More",
Cassandra Trelawney,"Cassandra Trelawney was the great-great-grandmother of Sibyll Trelawney. Cassandra was a “very famous, very gifted” Seer in her day (OP37). Read More",
Sybill Trelawney,"Sybill Patricia Trelawney is the Divination professor at Hogwarts School of Witchcraft and Wizardry. She is the great-great-granddaughter of Cassandra Trelawney, a very gifted, very famous Seer (OP37). She “has cultivated a dramatic manner and enjoys impressing her more gullible students with predictions of doom… Read More",
Trevor,"Trevor was Neville’s pet toad, whom he frequently lost during his first year at Hogwarts (PS6). Eventually, Trevor wandered off and joined the other amphibians in and around the Lake (Pm). Trevor was a gift from Neville’s Great Uncle Algie in recognition of the first time Neville showed magical… Read More",
Trocar,"J.K. Rowling had notes about a possible vampire teacher at Hogwarts named “Trocar” but the character was discarded fairly early in the writing process. He did not evolve into Snape, in spite of popular fan theories about the Potions Master’s “bat-like” appearance and “unhealthy pallor” (Pm). Read More",
Troy,"Troy was a Chaser for Ireland’s National Team at the 1994 Quidditch World Cup. During the final match of the 1994 Quidditch World Cup, Troy and fellow Irish Chasers Moran and Mullet were set to outscore Bulgaria, when Bulgarian Seeker Viktor Krum decided to catch the Snitch… Read More",
Queen Elizabeth I,"Queen Elizabeth I was the Muggle Queen of England and Ireland, from November 1558 until her death in March 1603. Known as the Virgin Queen, she was the last Tudor monarch. Her reign was known as the Elizabethan period. Read More",
Tuft Family,A wizarding family. Notable family members of the Tuft include: Wilhelmina and her son Ignatius formed a brief political dynasty as successive Ministers for Magic 1949 – 1962 (Pm)… Read More,
Tufty,Tufty was a Kneazle-cat cross owned by Arabella Figg. Tufty was intelligent and could understand human language. Read More,
Tufty-haired man who gives Dumbledore's eulogy,"A “little tufty-haired man” wearing black robes spoke at Dumbledore’s funeral, giving a eulogy. From what Harry can hear — phrases like “nobility of spirit” — it was a speech praising the life of the Headmaster(HBP30). In the midst of these high-sounding words, Harry remembered Dumbledore’s idea of a… Read More",
Sacharissa Tugwood,Sacharissa Tugwood was an inventor of Beautifying Potions and the discoverer of the pimple-curing properties of bubotuber pus (FW). Read More,
Adrian Tutley,"Adrian Tutley was a wizard who lodged a complaint with the International Confederation of Wizards about the Uagadou School Animagi Team. Their performance of “synchronized transforming” astounded the crowd attending an International Symposium of Animagi (Pm: Uagadou). Many older wizards, including Mr. Tutley, “felt threatened by fourteen-year-olds who could turn at… Read More",
Aristotle Twelvetrees,Aristotle Twelvetrees was Keeper of Treasure and Dragots in MACUSA in the late 18th century (Pm). Read More,
Dorcus Twelvetrees,"Vain, self-centered air-headed witch who fell in love with No-Maj and Scourer descendant, Bartholomew Barebone, ultimately causing one of the worst breaches of the International Statute of Secrecy of all time, which led to the instatement of Rappaport’s Law in the United States. She was imprisoned for a year, after… Read More",
twenty Ministry wizards,,
Mallory Twiddle,"Mallory Twiddle wrote a letter to the Daily Prophet, complaining that Gringotts was using Sphinxes to guard its high security vaults (DP1)… Read More",
Twilfitt,,
Wilkie Twycross,"Wilkie Twycross is an Apparition Instructor from the Ministry of Magic. An oddly colourless man, Twycross earned some rather unpleasant nicknames during these especially difficult classes, most starting with the letter “D”. He is thin and wispy, almost as if a breath of wind could blow him away (HBP18). Read More",
Ugga,"Ugga is mentioned in a letter from Goodwin Kneen to his cousin Olaf in Norway describing an early Kwidditch match. Ugga missed hitting a “Blooder” (an old word for a Bludger) with his club and it hit Radulf the blacksmith, another member of his team. Read More",
Ug the Unreliable,,
Ulick Gamp,"Ulick Gamp was the head of the Wizengamot before he became the first Minister for Magic, in office from 1701 to 1718. He founded the Department of Magical Law Enforcement (Pm). Read More",
Dolores Umbridge's brother,"The second child of the unhappy marriage of Orford Umbridge and his Muggle wife, Ellen. The boy turned out to be a squib, and when the parents split up, Ellen took their son with her back to the Muggle world. Dolores never saw her brother again. Umbridge denied even the… Read More",
Dolores Umbridge,"Dolores Umbridge was Senior Undersecretary to the Minister (OP8) and later highly unpopular teacher of Defence Against the Dark Arts at Hogwarts (OP11). She forced Dumbledore out and replaced him as Headmaster (OP28). In the Death Eater controlled Ministry of Pius Thicknesse, Umbridge… Read More",
Umbridge family,"The Umbridges are a family of mixed cultures, with a wizard father and Muggle mother. Notable family members include: Orford Umbridge Ellen Cracknell Umbridge Two children: Dolores, a witch, and a son who was a Squib Orford, a low-level Ministry of Magic employee, married a Muggle wife Ellen Cracknell. They… Read More",
Quintius Umfraville,"Quintius Umfraville was the author of the book The Noble Sport of Warlocks, a seventeenth-century description of the game of Quidditch. His book describes a pitch with scoring areas – which simplified the Keeper’s role – and baskets mounted on higher goalposts than previously recorded (QA6). Read More",
Uncle Bilius,"Ron Weasley’s Uncle Bilius saw a Grim and died, twenty-four hours later (PA6). Fred missed him at Bill and Fleur’s wedding, saying he always good for a laugh (DH8). Bilius is also Ron’s middle name (DH7). Read More",
Uncle Nobby,"The uncle of Beatrix Bloxam who had a sordid affair involving a hag and a sack of Bouncing Bulbs. As a child, Beatrix heard all the disturbing details of this affair and was traumatized for life as a result (TBB/WHH). Read More",
Unctuous Osbert,Unctuous Osbert was the tenth Minister for Magic. He was in office from 1789 to 1798. He was viewed with suspicion due to his close ties with wealthy pure-bloods (Pm). Read More,
Albanian peasant,"When he found Ravenclaw’s diadem in Albania, Voldemort killed a peasant and used his or her death to turn the priceless object into a Horcrux (BLC). Read More",
Muggle tramp,"After stealing Salazar Slytherin’s locket from Hepzibah Smith, Tom Riddle used the murder of a Muggle tramp to turn the locket into a Horcrux with part of his soul inside (BLC). Read More",
two unnamed Muggles in London,,
unnamed witch in Bath,,
Urg the Unclean,Urg the Unclean was a rebel leader during the goblin rebellions of the eighteenth century. Read More,
Uric the Oddball,Uric the Oddball was a medieval wizard famous for his strange behavior. Read More,
Elphinstone Urquart,"Elphinstone Urquart was Minerva McGonagall’s boss at the Ministry of Magic where she worked for a time after leaving Hogwarts. Later, he proposed to her and — after first refusing him — eventually she accepted and they married. Ephinstone and Minerva lived for three years in Hogsmeade until his accidental… Read More",
Urquhart,"Urquhart is the Captain of the Slytherin Quidditch team during the 1996-97 season. His position on the team is as a Chaser. Before their match against Gryffindor, Urquhart tries to injure Harry Potter’s hand by squeezing too tightly. During the game, his first goal attempt against… Read More",
Urquhart Rackharrow,Urquhart Rackharrow invented the Entrail-Expelling Curse in the 1600s. A portrait of him hung in the Dai Llewellyn Ward at St. Mungo’s (OP22). Read More,
Ursula Flint,"Ursula Flint was the wife of Hogwarts Headmaster Phineas Nigellus Black, with whom she had five children (BFT). Read More",
Vaisey,"Vaisey is a Chaser on the Slytherin Quidditch team in 1996 and is considered to be their best goal-scorer that season. A Bludger hit him in the head during a practice session, so he was unable to play in their match against Gryffindor (HBP14). Read More",
Valentina Vázquez,"Valentina Vázquez was President of the Argentinian Council of Magic in 2014. As Argentina was the host country for the 2014 Quidditch World Cup, President Vázquez spoke on behalf of the organisers of the Opening Ceremony on 12 April 2014, following the unfortunate bloodbath caused by the… Read More",
Valmai Morgan,Valmai Morgan is a Chaser for the all-female Quidditch team Holyhead Harpies in the 1990s. Morgan replaced Wilda Griffiths on the Harpies’ team and scored ten goals on her debut. Team Captain Gwenog Jones was “cock-a-hoop” at the result (DP3). She also scored for the Harpies in the… Read More,
vampire now unable to eat anything but lettuce,,
Emmeline Vance,"Emmeline Vance was a member of the Order of the Phoenix, both in the 1970s and in the 1990s. She was part of the Advance Guard that escorted Harry from number four, Privet Drive to number twelve, Grimmauld Place (OP3, OP9). She is described as a stately-looking witch… Read More",
Romilda Vane,"Romilda Vane was a Gryffindor, two years behind Harry Potter at Hogwarts, who went to great lengths to try to win his heart. She had dark eyes and long, dark hair. Romilda made it very obvious in her fourth year that she was pursuing Harry Potter (HBP7). Among other… Read More",
Vargot,Vargot was a rebel Goblin leader who was killed in battle during the bloody Rebellions of the 18th century (JKR-W3). Read More,
Nikola Vassileva,"Nikola Vassileva is a Chaser on Bulgaria’s National Team at the Quidditch World Cup tournament in 2014. Vassileva and fellow Chasers, Stoyanka Grozda and Bogomil Levski, were members of the Bulgarian side in the 2014 tournament that included the famous Seeker Viktor Krum (Pm). They had quite an easy first… Read More",
Venusia Crickerly,"Venusia Crickerly was the second ex-Auror to become Minister for Magic, serving from 1903 – 1912 (Pm). She died in a strange mandrake-related accident (Pm). Read More",
Verity,Verity was an employee of Weasleys’ Wizard Wheezes (HBP6). Read More,
Vernon Dudley,"A false name Harry Potter uses when he, Hermione and Ron are captured by Snatchers (DH22). Harry says that he (Vernon Dudley) works for the Ministry of Magic. Read More",
Vernon Dursley,"Vernon Dursley is the husband of Harry’s Aunt Petunia. Like her, he is very much a Muggle. In fact, he is about as Muggle as a person can get. He has no use for imagination at all. He is a large, beefy man with very little neck and… Read More",
Veronica Smethley,,
Vicky Frobisher,"Victoria (Vicky) Frobisher was a Gryffindor Hogwarts student in the 1990s. Vicky was very involved with a number of school clubs and societies, including the Charms Club. She did try out for the Quidditch team in 1995 as well, but made it clear that Charms was her priority. Read More",
Victoire Weasley,Victoire is the daughter of Bill and Fleur Weasley. Read More,
Queen Victoria,"Muggle Queen of the United Kingdom and Empress of India, from June 1837 to until her death in January 1901. She served longer than any other monarch of the royal family, and her reign was known as the Victorian era. Read More",
Viktor Krum,"Viktor Krum is a Bulgarian wizard who was their national side’s Seeker at the Quidditch World Cup (1994, 2002, 2014) and also Durmstrang Institute‘s representative at the Triwizard Tournament held at Hogwarts in 1994. A famous international Quidditch player for the Bulgarian National Team while still… Read More",
Vincent Duc de Trefle-Picques,Famous European wizard who escaped the Terror (1793-1794) by casting a concealment charm on his neck and feigning decapitation.  He is one of Beauxbatons’s most renowned alumni. Read More,
Vincent Crabbe,"Crabbe was the son of a Death Eater and, along with Gregory Goyle, a crony of Draco Malfoy. Crabbe is quite dense, although he seems to be a little brighter than Goyle. Throughout his first six years at Hogwarts, Crabbe and Goyle sycophantically followed Draco Malfoy around and served as… Read More",
Vinda Rosier,"Vinda Rosier was one of Grindelwald’s lieutenants having joined him sometime before 1927. When Queenie was distraught after having argued with Jacob, Rosier took her to a safehouse where Grindlewald was residing. She comforted Queenie and presented her with an ever-refilling teapot but when Queenie announced she wanted… Read More",
Violet,"Violet is a witch in a portrait hanging in Hogwarts. She is best friends with the Fat Lady, who calls her Vi. Violet is a wizened, pale old witch whose portrait is located in the antechamber off the Great Hall (GF17). Having heard all the news about the Goblet of Fire choices… Read More",
Violetta Beauvais,"American wandmaker from New Orleans, Louisiana (Pm). Read More",
Violetta Bulstrode,,
Violetta Hobday,"Mother of Egmont Elvert Hobday, whose birth announcement is in the Daily Prophet (DP2)… Read More",
Violet Tillyman,"Violet Tillyman was a witch who was famous for apparently vanishing in the Floo Network after a row with her husband Albert. Her disappearance caused a national scare in which people stopped using the Floo Network for fear that they, too, would vanish. In reality, she had simply ended up… Read More",
Vindictus Viridian,"Professor Vindictus Viridian was the author of Curses and Countercurses (Bewitch Your Friends and Befuddle Your Enemies with the Latest Revenges: Hair Loss, Jelly-Legs, Tongue- Tying and Much, Much More) (PS5, Pm). Read More",
Count Vlad Drakul,Notorious vampire who inspired the fictional Count Dracula created by Bram Stoker. Father of Vlad the Impaler. Read More,
Volkov,"Volkov is a Beater on the Bulgarian National Team at the 1994 Quidditch World Cup. Along with fellow Bulgarian Beater Vulchanov, he was on the Bulgarian side that lost the 1994 final against Ireland. His other teammates were Viktor Krum as Seeker, Dimitrov, Ivanova… Read More",
Luciano Volpi,"Luciano Volpi is famous Quidditch player (Seeker) from Italy and he featured in an article appearing in the Daily Prophet before the Quidditch World Cup tournament in 2014. He was accused of transfiguring himself into Bonawentura Wójcik, a Seeker for the Polish National Team in the 2014 tournament. That rumour… Read More",
Vulchanov,"Vulchanov was a Beater on the Bulgarian National Team at the 1994 Quidditch World Cup. Along with the other Bulgarian Beater Volkov, Vulchanov was a member of the Bulgarian team in 1994 that lost the Quidditch World Cup final to Ireland. The team included a very young Viktor Krum as… Read More",
Nerida Vulchanova,Nerida Vulchanova was a powerful Bulgarian witch and the founder and first head of Durmstrang Institute. Her death was considered “mysterious” (Pm). Read More,
